8,22,80
1,0,80
3,2,80
19,4,80
10,6,80
13,19,80
14,2,80
19,11,80
10,13,80
14,0,80
0,1,80
13,0,80
14,7,80
19,5,80
14,18,80
18,9,80
2,4,80
18,0,80
19,5,80
16,13,80
19,5,80
18,13,80
7,8,80
10,0,80
0,13,80
17,4,80
6,18,80
1,4,80
0,9,80
8,2,80
15,8,80
18,17,80
5,19,80
19,12,80
3,1,80
18,15,80
13,19,80
17,9,80
21,13,80
20,13,80
8,14,80
5,22,80
4,20,80
5,22,80
15,0,80
6,17,80
9,11,80
20,18,80
3,22,80
15,17,80
16,8,80
0,11,80
11,21,80
14,3,80
19,11,80
10,8,80
18,5,80
12,21,80
20,22,80
16,4,80
16,8,80
22,3,80
11,18,80
15,11,80
3,17,80
4,21,80
2,4,80
9,15,80
22,15,80
22,2,80
14,3,80
2,17,80
21,17,80
0,15,80
23,15,80
14,19,80
16,8,80
19,2,80
5,22,80
12,7,80
6,2,80
18,22,80
16,7,80
17,8,80
15,12,80
11,3,80
6,14,80
22,3,80
19,21,80
6,7,80
16,6,80
21,19,80
13,16,80
11,18,80
3,23,80
23,21,80
6,11,80
13,4,80
21,13,80
9,8,80
