6,10,80
2,0,80
6,7,80
2,11,80
12,0,80
4,9,80
3,4,80
2,6,80
3,6,80
4,3,80
3,12,80
13,11,80
11,10,80
9,12,80
9,5,80
7,5,80
2,7,80
7,6,80
6,7,80
7,3,80
1,13,80
10,12,80
0,5,80
11,8,80
9,0,80
6,12,80
11,7,80
10,11,80
1,3,80
5,7,80
6,0,80
2,8,80
1,3,80
1,3,80
9,10,80
2,13,80
3,0,80
4,13,80
10,12,80
0,13,80
10,4,80
2,0,80
0,9,80
4,8,80
2,1,80
3,0,80
8,13,80
2,1,80
1,6,80
7,1,80
1,6,80
11,8,80
2,6,80
3,4,80
6,10,80
2,8,80
7,10,80
6,12,80
4,5,80
2,7,80
3,0,80
4,6,80
9,13,80
1,11,80
4,3,80
7,11,80
6,9,80
2,7,80
4,1,80
6,7,80
1,3,80
0,12,80
10,8,80
7,8,80
7,5,80
1,10,80
1,12,80
6,3,80
11,13,80
9,5,80
8,12,80
12,11,80
1,13,80
11,9,80
8,0,80
3,8,80
10,11,80
7,12,80
2,5,80
13,12,80
7,11,80
13,3,80
12,1,80
13,0,80
13,8,80
5,13,80
13,11,80
13,2,80
1,11,80
1,11,80
